TP-151 FP-373 TN-738 FN-0  Total-1262 Threshold-150
TP-151 FP-317 TN-794 FN-0  Total-1262 Threshold-155
TP-151 FP-275 TN-836 FN-0  Total-1262 Threshold-160
TP-151 FP-212 TN-899 FN-0  Total-1262 Threshold-165
TP-151 FP-173 TN-938 FN-0  Total-1262 Threshold-170
TP-151 FP-139 TN-972 FN-0  Total-1262 Threshold-175
TP-150 FP-109 TN-1002 FN-1  Total-1262 Threshold-180
TP-148 FP-78 TN-1033 FN-3  Total-1262 Threshold-185
TP-144 FP-64 TN-1047 FN-7  Total-1262 Threshold-190
TP-141 FP-50 TN-1061 FN-10  Total-1262 Threshold-195
TP-133 FP-42 TN-1069 FN-18  Total-1262 Threshold-200
TP-122 FP-33 TN-1078 FN-29  Total-1262 Threshold-205
TP-110 FP-16 TN-1095 FN-41  Total-1262 Threshold-210
TP-94 FP-8 TN-1103 FN-57  Total-1262 Threshold-215
TP-74 FP-5 TN-1106 FN-77  Total-1262 Threshold-220
TP-55 FP-2 TN-1109 FN-96  Total-1262 Threshold-225
TP-41 FP-0 TN-1111 FN-110  Total-1262 Threshold-230
TP-28 FP-0 TN-1111 FN-123  Total-1262 Threshold-235
TP-20 FP-0 TN-1111 FN-131  Total-1262 Threshold-240
TP-8 FP-0 TN-1111 FN-143  Total-1262 Threshold-245
TP-1 FP-0 TN-1111 FN-150  Total-1262 Threshold-250
TP-1 FP-0 TN-1111 FN-150  Total-1262 Threshold-255
