TP-151 FP-889 TN-222 FN-0  Total-1262 Threshold-150
TP-151 FP-791 TN-320 FN-0  Total-1262 Threshold-155
TP-151 FP-675 TN-436 FN-0  Total-1262 Threshold-160
TP-151 FP-597 TN-514 FN-0  Total-1262 Threshold-165
TP-151 FP-535 TN-576 FN-0  Total-1262 Threshold-170
TP-151 FP-468 TN-643 FN-0  Total-1262 Threshold-175
TP-151 FP-386 TN-725 FN-0  Total-1262 Threshold-180
TP-151 FP-308 TN-803 FN-0  Total-1262 Threshold-185
TP-151 FP-231 TN-880 FN-0  Total-1262 Threshold-190
TP-151 FP-169 TN-942 FN-0  Total-1262 Threshold-195
TP-151 FP-124 TN-987 FN-0  Total-1262 Threshold-200
TP-148 FP-82 TN-1029 FN-3  Total-1262 Threshold-205
TP-143 FP-59 TN-1052 FN-8  Total-1262 Threshold-210
TP-133 FP-43 TN-1068 FN-18  Total-1262 Threshold-215
TP-121 FP-30 TN-1081 FN-30  Total-1262 Threshold-220
TP-99 FP-14 TN-1097 FN-52  Total-1262 Threshold-225
TP-75 FP-5 TN-1106 FN-76  Total-1262 Threshold-230
TP-48 FP-1 TN-1110 FN-103  Total-1262 Threshold-235
TP-31 FP-0 TN-1111 FN-120  Total-1262 Threshold-240
TP-16 FP-0 TN-1111 FN-135  Total-1262 Threshold-245
TP-5 FP-0 TN-1111 FN-146  Total-1262 Threshold-250
TP-1 FP-0 TN-1111 FN-150  Total-1262 Threshold-255
