TP-151 FP-139 TN-972 FN-0  Total-1262 Threshold-175
TP-151 FP-131 TN-980 FN-0  Total-1262 Threshold-176
TP-151 FP-125 TN-986 FN-0  Total-1262 Threshold-177
TP-151 FP-120 TN-991 FN-0  Total-1262 Threshold-178
TP-150 FP-112 TN-999 FN-1  Total-1262 Threshold-179
TP-150 FP-109 TN-1002 FN-1  Total-1262 Threshold-180
TP-150 FP-103 TN-1008 FN-1  Total-1262 Threshold-181
TP-150 FP-97 TN-1014 FN-1  Total-1262 Threshold-182
TP-149 FP-90 TN-1021 FN-2  Total-1262 Threshold-183
TP-149 FP-85 TN-1026 FN-2  Total-1262 Threshold-184
TP-148 FP-78 TN-1033 FN-3  Total-1262 Threshold-185
TP-147 FP-74 TN-1037 FN-4  Total-1262 Threshold-186
TP-146 FP-69 TN-1042 FN-5  Total-1262 Threshold-187
TP-145 FP-67 TN-1044 FN-6  Total-1262 Threshold-188
TP-145 FP-65 TN-1046 FN-6  Total-1262 Threshold-189
TP-144 FP-64 TN-1047 FN-7  Total-1262 Threshold-190
TP-143 FP-59 TN-1052 FN-8  Total-1262 Threshold-191
TP-142 FP-54 TN-1057 FN-9  Total-1262 Threshold-192
TP-142 FP-54 TN-1057 FN-9  Total-1262 Threshold-193
TP-142 FP-53 TN-1058 FN-9  Total-1262 Threshold-194
TP-141 FP-50 TN-1061 FN-10  Total-1262 Threshold-195
TP-140 FP-45 TN-1066 FN-11  Total-1262 Threshold-196
TP-139 FP-45 TN-1066 FN-12  Total-1262 Threshold-197
TP-136 FP-43 TN-1068 FN-15  Total-1262 Threshold-198
TP-133 FP-43 TN-1068 FN-18  Total-1262 Threshold-199
TP-133 FP-42 TN-1069 FN-18  Total-1262 Threshold-200
TP-131 FP-40 TN-1071 FN-20  Total-1262 Threshold-201
TP-128 FP-38 TN-1073 FN-23  Total-1262 Threshold-202
TP-125 FP-37 TN-1074 FN-26  Total-1262 Threshold-203
TP-123 FP-34 TN-1077 FN-28  Total-1262 Threshold-204
TP-122 FP-33 TN-1078 FN-29  Total-1262 Threshold-205
TP-121 FP-29 TN-1082 FN-30  Total-1262 Threshold-206
TP-118 FP-25 TN-1086 FN-33  Total-1262 Threshold-207
TP-115 FP-21 TN-1090 FN-36  Total-1262 Threshold-208
TP-111 FP-19 TN-1092 FN-40  Total-1262 Threshold-209
TP-110 FP-16 TN-1095 FN-41  Total-1262 Threshold-210
TP-105 FP-16 TN-1095 FN-46  Total-1262 Threshold-211
TP-102 FP-15 TN-1096 FN-49  Total-1262 Threshold-212
TP-99 FP-13 TN-1098 FN-52  Total-1262 Threshold-213
TP-98 FP-10 TN-1101 FN-53  Total-1262 Threshold-214
TP-94 FP-8 TN-1103 FN-57  Total-1262 Threshold-215
TP-90 FP-7 TN-1104 FN-61  Total-1262 Threshold-216
TP-88 FP-7 TN-1104 FN-63  Total-1262 Threshold-217
TP-82 FP-5 TN-1106 FN-69  Total-1262 Threshold-218
TP-76 FP-5 TN-1106 FN-75  Total-1262 Threshold-219
TP-74 FP-5 TN-1106 FN-77  Total-1262 Threshold-220
